round type + metrics,no_rounding,no_rounding,no_rounding,round 0.5,round 0.5,round 0.5,best_single_threshold_0.05_0.95,best_single_threshold_0.05_0.95,best_single_threshold_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_multiple_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_graph_thresholds_0.05_0.95,best_single_threshold_0.25_0.75,best_single_threshold_0.25_0.75,best_single_threshold_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_multiple_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75,best_graph_thresholds_0.25_0.75
model,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy,rmse,mae,accuracy
linear_regression,0.500431834592485,0.3501346027611697,,0.48296971935727107,0.21265636497424578,0.7954378219278881,0.47991291827200916,0.21118469462840322,0.7961736571008095,0.5060342282658362,0.22663723325974983,0.7836644591611479,0.44241627004107414,0.17365710080941868,0.8329654157468727,0.47991291827200916,0.21118469462840322,0.7961736571008095,0.4690572637785907,0.20382634289919058,0.8020603384841796,0.4522855050431219,0.18248712288447388,0.8241353936718175
linear_regression_ridge,0.5011750284254647,0.34971594930776434,,0.4979723418770028,0.22148638704930096,0.7873436350257542,0.47914567090962523,0.20897718910963944,0.7991169977924945,0.5110983138174585,0.23914643119941134,0.7696835908756439,0.44324709944902957,0.17292126563649743,0.8344370860927153,0.47914567090962523,0.20897718910963944,0.7991169977924945,0.4752908563046722,0.20088300220750552,0.8072111846946284,0.4539095156724018,0.18248712288447388,0.8248712288447387
linear_regression_lasso,0.5311708420389969,0.364058463942409,,0.5210788604500733,0.23914643119941134,0.7718910963944077,0.5146850126549788,0.23105224429727741,0.7807211184694628,0.5031175801787444,0.22810890360559236,0.7799852832965416,0.45874705389297266,0.18248712288447388,0.8263428991905813,0.5146850126549788,0.23105224429727741,0.7807211184694628,0.4920261902491537,0.2141280353200883,0.7947019867549668,0.4651188459295668,0.18984547461368653,0.8182487122884474
lad_regression,0.530173623611452,0.3391446280480407,,0.4867637267511287,0.20014716703458427,0.8153053715967623,0.4867637267511287,0.20014716703458427,0.8153053715967623,0.49500819446023464,0.21265636497424578,0.8005886681383371,0.44573029590632685,0.16629874908020603,0.8469462840323767,0.4867637267511287,0.20014716703458427,0.8153053715967623,0.4776074785905183,0.19426048565121412,0.8197203826342899,0.44737810298961245,0.17218543046357615,0.8388520971302428
huber_regression,0.5283108268441686,0.3390792479466456,,0.48449088759427017,0.199411331861663,0.8153053715967623,0.47991291827200916,0.1949963208241354,0.8197203826342899,0.5089341616243555,0.21339220014716703,0.8027961736571008,0.4465549595085279,0.16409124356144222,0.8484179543782193,0.47991291827200916,0.1949963208241354,0.8197203826342899,0.48220733574171176,0.1927888153053716,0.8211920529801324,0.4449041037300291,0.16850625459896984,0.8432671081677704
linear_svm,0.5325854754346457,0.33488521486341394,,0.47991291827200916,0.19793966151582046,0.8153053715967623,0.47991291827200916,0.19793966151582046,0.8153053715967623,0.5118176643688361,0.21486387049300956,0.8027961736571008,0.4449041037300291,0.16409124356144222,0.8498896247240618,0.47991291827200916,0.19793966151582046,0.8153053715967623,0.4651188459295668,0.18690213392200147,0.8248712288447387,0.44901986301323776,0.1692420897718911,0.8440029433406917
kernel_svm,0.2709546148033673,0.17606718192161624,,0.28450284536598086,0.07211184694628403,0.9315673289183223,0.2779616756978071,0.06990434142752024,0.9330389992641648,0.27663488208071596,0.06916850625459897,0.9345106696100074,0.2301741350593744,0.04856512141280353,0.9536423841059603,0.2779616756978071,0.06990434142752024,0.9330389992641648,0.2544670808121777,0.05739514348785872,0.9455481972038263,0.23803215815292156,0.05224429727740986,0.9499632082413539
knn,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
random_forest,0.13065726190419047,0.08033701250919788,,0.07672471168645813,0.005886681383370125,0.9941133186166299,0.06644554941850954,0.004415011037527594,0.9955849889624724,0.10505963827188339,0.011037527593818985,0.9889624724061811,0.0542525639180773,0.0029433406916850625,0.9970566593083149,0.06644554941850954,0.004415011037527594,0.9955849889624724,0.06644554941850954,0.004415011037527594,0.9955849889624724,0.0542525639180773,0.0029433406916850625,0.9970566593083149
lightgbm,8.89585742296717e-07,4.4589072493544874e-07,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ordered_model_probit_bfgs,0.5139696752520856,0.21265636497424578,,0.5139696752520856,0.21265636497424578,0.8079470198675497,0.5139696752520856,0.21265636497424578,0.8079470198675497,0.5139696752520856,0.21265636497424578,0.8079470198675497,0.5139696752520856,0.21265636497424578,0.8079470198675497,0.5139696752520856,0.21265636497424578,0.8079470198675497,0.5139696752520856,0.21265636497424578,0.8079470198675497,0.5139696752520856,0.21265636497424578,0.8079470198675497
ordered_model_logit_bfgs,0.4539095156724018,0.17218543046357615,,0.4539095156724018,0.17218543046357615,0.8403237674760854,0.4539095156724018,0.17218543046357615,0.8403237674760854,0.4539095156724018,0.17218543046357615,0.8403237674760854,0.4539095156724018,0.17218543046357615,0.8403237674760854,0.4539095156724018,0.17218543046357615,0.8403237674760854,0.4539095156724018,0.17218543046357615,0.8403237674760854,0.4539095156724018,0.17218543046357615,0.8403237674760854
